央视频道[V4],#genre#
芜湖新闻综合频道,https://live3.wuhunews.cn/news/playlist.m3u8?_upt=63df40ad1725344791
芜湖生活频道,https://live3.wuhunews.cn/channel2/playlist.m3u8?_upt=79326ab91725344798
芜湖公共频道,https://live3.wuhunews.cn/channel3/playlist.m3u8?_upt=98a9b36f1725344821
岳西综合频道,http://112.30.194.221:20080/live/b62955a9283f4c2ea8ccb96e8ac468bc/hls.m3u8
宿州新闻综合频道,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
宿州公共频道,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
宿州科教频道,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
滁州新闻综合频道,http://live.cztv.cc:85/live/xwpd.m3u8
滁州科教频道,http://live.cztv.cc:85/live/sjpd.m3u8
滁州公共频道,http://live.cztv.cc:85/live/ggpd.m3u8
亳州农村频道,http://zbbf2.ahbztv.com/live/418.m3u8
黄山新闻频道,http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8

浙江频道[V4],#genre#
浙江钱江都市频道,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经视,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教育科技频道,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江电视台影视娱乐频道,http://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
浙江6频道民生休闲频道,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江新闻频道,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江电视台少儿频道,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
好易购电视购物,https://zhfivel02.cztv.com/channel11/1080p.m3u8?auth_key=1725337970-ebf7192194795c2e40d34840db8c1d15-0-a1e42f809da2a1a37a04a804466237ad
浙江国际频道,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
杭州综合频道,https://live.hoolo.tv/hztv1/playlist.m3u8?auth_key=1725344664-0-0-02346d8b57d09cfe89b8d45e26a64503
杭州西湖明珠频道,https://live.hoolo.tv/hztv2/playlist.m3u8?auth_key=1725344675-0-0-ce56bdeb4befff9f49df6b51611dc73c
杭州生活频道,https://live.hoolo.tv/hztv3/playlist.m3u8?auth_key=1725341756-0-0-0f39f5a54b3c5e74b30ae499be82058c
杭州影视频道,https://live3.hoolo.tv/hztv4/playlist.m3u8?auth_key=1725338790-0-0-a68fbd4ffd973909553ca839c8e679d2
杭州5套青少体育频道,https://live3.hoolo.tv/hztv5/playlist.m3u8?auth_key=1725345020-0-0-ea37851ab5c31ac88cc9f4ea8caf9827
杭州六频道导视频道,https://live3.hoolo.tv/hztv6/playlist.m3u8?auth_key=1725338778-0-0-ac08ea8af346724c7df1af93154c63a7
萧山综合频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
余杭新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
余杭未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
临平新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
宁波电视台1套,http://liveplay.nbtv.cn/live/nbtv1_md.m3u8?auth_key=1725338920-0-0-f5b55b09345c911d760fd0c61b4dac08
宁波电视台2套,http://liveplay.nbtv.cn/live/nbtv2_md.m3u8?auth_key=1725341686-0-0-332e44b94898f11bf4b07911580d9758
宁波电视台3套,http://liveplay.nbtv.cn/live/nbtv3_md.m3u8?auth_key=1725338215-0-0-415ee4ea8f431ec8b2e1524f1d9f0c7c
宁波4套影视频道,http://liveplay.nbtv.cn/live/nbtv4_md.m3u8?auth_key=1725338856-0-0-5230a26cf88837640c4121d081ebdb2a
象山电视台新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
余姚新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚姚江文化频道,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
文成新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
苍南新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
永嘉新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
绍兴文化影视频道,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴电视台公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴新闻综合频道,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
新昌新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
新昌生活频道,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
上虞新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
上虞文化影视频道,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
上虞新商都频道,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
嵊州新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
上海频道[V4],#genre#
上海新闻综合频道,http://117.161.12.124/live/program/live/xwzhhd8m/8000000/mnf.m3u8
上海第一财经频道,http://117.161.12.124/live/program/live/dycjhd8m/8000000/mnf.m3u8
东方财经浦东频道,http://117.161.12.124/live/program/live/dfcjhd8m/8000000/mnf.m3u8
上海东方影视频道,http://117.161.12.124/live/program/live/dfyshd8m/8000000/mnf.m3u8
上海五星体育频道,http://117.161.12.124/live/program/live/wxtyhd8m/8000000/mnf.m3u8
上海教育电视台,http://117.161.12.124/live/program/live/setvhd/8000000/mnf.m3u8
上海东方购物频道,http://ocj2.kksmg.com/ocj1/ocj1.m3u8
上海ICS外语频道,http://117.161.12.124/live/program/live/icshd8m/8000000/mnf.m3u8
哈哈炫动卫视,http://117.161.12.124/live/program/live/hhxd8m/8000000/mnf.m3u8
上海都市频道,http://117.161.12.124/live/program/live/dshd8m/8000000/mnf.m3u8
上海生活时尚频道,http://117.161.12.124/live/program/live/shss8m/8000000/mnf.m3u8
上海法治天地频道,http://117.161.12.124/live/program/live/fztd8m/8000000/mnf.m3u8
外频道[V4],#genre#
凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
CGTN纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN俄语,http://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
CGTN法语,https://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN西语,https://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN阿语,https://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8



























































































































































































































































































































































































































































